"logFC","logCPM","PValue","FDR"
"CRYBB2P1",1.13114223583599,3.35949013872839,0.00450056473433818,0.295869558373086
"MYO1E",0.911939219646257,3.72152211477535,0.00459189008886469,0.300111196447278
"HLA-A",1.18180683832426,3.27679886663823,0.00461443789965803,0.300111196447278
"MOAP1",0.828565834798954,3.980279216346,0.0047208643593582,0.30539974648146
"IGFBP6",0.687160190045836,4.46061559140869,0.00484848809309817,0.311996360784444
"PTPRF",0.762810174000137,4.15473057690186,0.00492258476232499,0.315097241470508
"DHRS13",1.04011372820891,3.46986130563899,0.00497169694382036,0.316574755134781
"HIST1H2AG",-0.45871422401231,8.51217190129121,0.00502241166382138,0.316994210852865
"C3orf10",0.604510318450526,5.66167173318229,0.00503041298261823,0.316994210852865
"EFNA4",0.971914049181765,3.58086908756063,0.00530765763150335,0.332740887187339
"CCNG2",1.74498921300242,3.54346629292637,0.00536655383023997,0.334432967331493
"EEF1A2",0.633602379486583,5.48095115142878,0.00540831136703985,0.334432967331493
"HLA-H",1.09498627897114,3.30734788636984,0.00541714311497321,0.334432967331493
"HIST1H1D",-0.513779493846196,7.91725250090654,0.005691296216957,0.349583558538541
"HIST1H3H",-0.776547496357997,9.70309622736622,0.00576073046474329,0.35207037141813
"RBPJ",0.714101086941987,4.37895727901698,0.00581021411041025,0.353319120054047
"MTRNR2L10",-0.709428143780285,8.54288325963321,0.00592920862348719,0.35679311171759
"TBK1",0.670392231196979,4.34936307163085,0.00593522861886652,0.35679311171759
"HERC3",1.66862013270735,2.63548119879978,0.00595535287606239,0.35679311171759
"ECE2",0.735965991874062,4.20931993518503,0.00607599474781298,0.36223651040638
"C1orf51",2.51143830377798,2.15287374464717,0.00636139557801269,0.377401429364831
"DUSP3",0.632257858397823,4.52569472084808,0.0066320733847771,0.391549885949801
"NARF",0.751318541610001,4.15853215171142,0.00674835776778806,0.396490469429171
"SCARNA2",0.612465855472258,8.91427626845065,0.00721904178401686,0.422105702775063
"CRABP2",0.699779329206372,5.22853781259249,0.00730525658646393,0.425103017246767
"FTL",0.588086825743615,8.37316794173794,0.00744603502594036,0.431231799930889
"B3GNT4",2.14477778445834,2.33307010464302,0.0075621781864431,0.435882517078299
"MEA1",0.569245922659374,5.55618954291168,0.00765503797837734,0.438768775474519
"IMPAD1",0.615948170924191,5.28483962142645,0.00777906362006607,0.438768775474519
"MT3",2.97486349760744,1.97771177372506,0.00782285987005814,0.438768775474519
"IPMK",1.14869901046913,3.2000780413431,0.0078621361382164,0.438768775474519
"C9orf25",1.14197562592189,3.212360104065,0.0078621361382164,0.438768775474519
"SNORD1A",0.896017018407977,7.86851694091302,0.00786307761347286,0.438768775474519
"CHSY1",0.670637185081559,4.35960436271296,0.00786479140383532,0.438768775474519
"ADPRHL2",0.717008265369985,4.12593897882475,0.00802221150894567,0.445507472017339
"SNORD23",0.611048281363021,7.75203808223362,0.00820278380815598,0.453464803067241
"SIAH2",0.770737929698106,3.97669510355116,0.00858044864404025,0.472196454338541
"MTFP1",0.645866741208102,4.39173387272454,0.00876428743392416,0.480140827799035
"HES4",1.13538855608773,3.2460364523832,0.00916066701192992,0.499605525556465
"VWCE",0.821200321218506,6.50912545534408,0.00936696615302858,0.505723042908194
"RNF24",1.65956808703405,2.57950172347493,0.00939758326732872,0.505723042908194
"SCAND2",1.56403648823102,2.61819139815658,0.00939758326732872,0.505723042908194
"CNN1",1.16267139883526,3.146940063374,0.00948050741254349,0.507938022693189
"DTNA",1.22972570881325,2.93945878398665,0.00954007638188224,0.508887758580929
"NEBL",0.653971449953464,4.43907083289219,0.00998498521076676,0.528411226214636
"HIST1H2AE",-0.672068645022122,8.20074488462715,0.00999297665099213,0.528411226214636
"ALDH18A1",0.513434322800362,5.9189476940407,0.0100846884839417,0.530952300180517
"CDKN2D",0.992385015741886,3.61184699558281,0.0103004584309305,0.538533397512392
"IKBIP",0.67714817323633,4.20665434004837,0.0103172407186637,0.538533397512392
"HIST1H1E",-0.605655511741881,8.77191258825421,0.0104670843662631,0.543965977307276
"ELOVL6",-0.589472285929036,4.52585531868336,0.0105107716384813,0.543965977307276
"HIST2H3A",-0.562429635235248,8.90886612585153,0.0106187271510544,0.545252017469492
"HIST2H3C",-0.562429692566936,8.90886612585153,0.0106252859842353,0.545252017469492
"SH3D21",1.5224129729289,2.72424768935257,0.0107299116774532,0.548307503450359
"FAM26D",1.21197244636824,3.73595903779175,0.010850143560187,0.552131573133868
"MIR3647",-0.67216859835171,4.37301216457399,0.0111380295511113,0.564419647502565
"SERTAD2",0.763198259963336,3.88617835273973,0.0113617425266477,0.569538476434425
"TSPYL2",1.05239025477108,3.39959837711963,0.0113752346603141,0.569538476434425
"MIR30D",1.57233721952425,3.17443505239796,0.011379530486233,0.569538476434425
"LUM",0.700730820019049,4.15248098811658,0.0115129684842341,0.573855420923177
"ADORA2B",0.918651926354851,3.50403571101812,0.0116627012594719,0.578020035040452
"CXCR4",2.80491240131669,2.07086575139125,0.0117391011885374,0.578020035040452
"GALNTL4",2.45716320697263,2.09940497261228,0.0117391011885374,0.578020035040452
"HIST1H1C",-0.768227852002676,8.63365593614425,0.0119984007719211,0.588254919276363
"KCTD11",1.04161005808102,3.30595103689084,0.0120436996299798,0.588254919276363
"C12orf24",0.641320299532256,4.34105071205622,0.0121365110607681,0.590416990084245
"HMHA1",1.51047500918481,2.65810029962564,0.0125980207795993,0.610426807655325
"HIST1H2AL",-0.729245098848212,4.38591664686965,0.0126882075463192,0.612357064199738
"ZC3HAV1L",0.716145988616387,4.10520357791598,0.0128497320343749,0.615412650997319
"TGFBR1",0.817256788790666,3.74280093725961,0.0128527226897976,0.615412650997319
"HIST1H3B",-0.740446625257562,8.8002244977556,0.0129121685247827,0.615834484699637
"PAQR5",2.30788433776325,2.19811689133507,0.0129678665342342,0.616074971833423
"MIRLET7A2",1.11770251662226,3.1340638308875,0.0133866215150044,0.633494516986317
"MPP2",0.940684459369734,3.46959138090432,0.0140840598666815,0.662415860844507
"SNORA4",-0.603559817381392,12.4668936019484,0.0141067018548534,0.662415860844507
"LPIN2",0.824490664011658,3.66199266464054,0.0141820878680723,0.663394433274983
"SLC41A1",0.70104391514169,4.04946261790165,0.0143443394747364,0.668413244029673
"C1orf9",0.634501002423035,4.23643382850568,0.0144165421557379,0.66921368587055
"HIST1H4C",-0.457406436575921,8.94365320054298,0.0144808898006172,0.669644797547933
"COL6A1",1.56850972629771,2.57420495761761,0.0146903190232133,0.676756287728484
"PELO",0.655972461860125,4.16251311737228,0.0152798030181521,0.696087450763805
"C11orf68",0.648268754067899,4.16967584305958,0.0152798030181521,0.696087450763805
"INA",0.942033837100568,3.38764172532033,0.0152816435910159,0.696087450763805
"MIR182",1.06658577891103,3.14804180647895,0.0154665475616055,0.699271938454447
"DUSP5",1.04433931722975,3.17200792471109,0.0154665475616055,0.699271938454447
"MIR30B",2.76301233442651,1.94872927007644,0.0156405379663297,0.700317710927004
"PYDC1",2.58797932252515,1.91589891542623,0.0156405379663297,0.700317710927004
"PLS3",0.497689398697003,5.92842850740692,0.0156624253718258,0.700317710927004
"ANXA2",0.47587952083624,6.16223614251523,0.0159246018395237,0.709432262169551
"GART",-0.605038337802399,5.38160601840309,0.0160079717954929,0.710543624002864
"FKBP8",0.612057486472327,6.12963958475981,0.0162675967467326,0.719441860486408
"MTRNR2L3",-0.611982366346954,5.89175817169666,0.0166850708862473,0.735231275791813
"C12orf23",0.712134413949666,3.92047581838254,0.0167633483717475,0.736013873275065
"CYP51A1",-0.643822403551657,4.20285690497585,0.0170001428523072,0.738792341891175
"C1orf96",0.838064004835797,3.61978374176138,0.017054454358922,0.738792341891175
"C18orf19",0.826247949665084,3.63094315063502,0.017054454358922,0.738792341891175
"MTRNR2L6",-0.626425584524003,7.55113808179879,0.0170696142140618,0.738792341891175
"MYO1B",0.568811004546537,4.97852710058821,0.0173160279165567,0.746799757167243
"CXCL1",-0.682869467778768,4.01178728419289,0.0176105718518671,0.756818992446671
"MARCKS",0.579103594996894,5.26176956966348,0.0183140446648981,0.784279616952434
"SLC25A36",0.64179061559281,5.05373385060328,0.0185406249165614,0.791196772755156
"PHPT1",0.725840631151154,3.86274608611028,0.0186983075233321,0.793733512456133
"HIST2H2BE",-0.553769012227832,4.41404474706619,0.0187874948633299,0.793733512456133
"MAP2K1",0.629673972301766,4.23602352931578,0.0187958601864304,0.793733512456133
"RCOR2",0.631071767781314,4.1569617148361,0.0190370750929116,0.799991861614195
"PYGL",0.559243467911842,5.67793955049363,0.0190756158418119,0.799991861614195
"APOC1",0.515114996500644,4.84811684735156,0.0193119856978985,0.806893876275316
"SAV1",0.748187690640145,3.77354695156437,0.0194392292179467,0.806893876275316
"PLEKHA8",0.738731060167916,3.77214868238959,0.0194392292179467,0.806893876275316
"PPP1R3B",1.13383731440107,3.00201418869884,0.0196401121805611,0.809705235050793
"TET1",1.10009985035369,2.99796805949142,0.0196401121805611,0.809705235050793
